day,wafer_num,process_group,n_cycles,duration_s,iv_median,iv_std,iv_min,iv_max,anomalous
2024_08_01,10,Day_2024_08_01_Wafer_10,101,648.7999999523163,6.0,0.5799137788022702,4.599999904632568,11.599999904632568,True
2024_08_05,1,Day_2024_08_05_Wafer_01,101,690.4300000667572,6.0,0.6029096038903825,4.400000095367432,11.799999952316284,True
2024_08_05,2,Day_2024_08_05_Wafer_02,101,690.460000038147,6.0,0.5803783289355747,4.599999904632568,11.610000133514404,True
2024_08_05,3,Day_2024_08_05_Wafer_03,101,701.0,6.0,1.0518003688527273,5.799999952316284,15.0,True
2024_08_05,4,Day_2024_08_05_Wafer_04,101,690.4299998283386,6.0,0.599079310893401,4.599999904632568,11.800000190734863,True
2024_08_05,5,Day_2024_08_05_Wafer_05,101,690.7200000286102,6.0,0.5729746793841188,4.800000190734863,11.599999904632568,True
2024_08_05,6,Day_2024_08_05_Wafer_06,101,690.2000000476837,6.0,0.5970728523269759,4.6000001430511475,11.799999952316284,True
2024_08_07,1,Day_2024_08_07_Wafer_01,101,701.2999999523163,6.0,1.051039493579162,5.799999952316284,15.0,True
2024_08_07,2,Day_2024_08_07_Wafer_02,101,700.960000038147,6.0,1.0557632278518825,5.799999952316284,14.799999952316284,True
2024_08_07,3,Day_2024_08_07_Wafer_03,101,700.9400000572205,6.0,1.0514228520028657,5.799999952316284,15.0,True
2024_08_07,4,Day_2024_08_07_Wafer_04,101,690.7300000190735,6.0,0.5995348422255291,4.609999895095825,11.800000190734863,True
2024_08_07,5,Day_2024_08_07_Wafer_05,101,690.6799998283386,6.0,0.5792236322979801,4.599999904632568,11.600000143051147,True
2024_08_07,6,Day_2024_08_07_Wafer_06,101,690.7400000095367,6.0,0.6039586002090941,4.4100000858306885,11.799999952316284,True
2024_08_07,7,Day_2024_08_07_Wafer_07,101,690.670000076294,6.0,0.5984112213532287,4.6000001430511475,11.799999952316284,True
2024_08_07,8,Day_2024_08_07_Wafer_08,100,766.7999999523163,6.0,0.09393398060702161,5.799999952316284,6.200000047683716,False
2024_08_07,9,Day_2024_08_07_Wafer_09,101,690.6699998378754,6.0,0.5806031509411168,4.599999904632568,11.600000143051147,True
2024_08_07,10,Day_2024_08_07_Wafer_10,101,649.0,6.0,0.5990792854230002,4.6000001430511475,11.799999952316284,True
2024_08_21,1,Day_2024_08_21_Wafer_01,101,648.7999999523163,6.0,0.6239358887535574,4.400000095367432,12.0,True
2024_08_21,2,Day_2024_08_21_Wafer_02,101,648.7999999523163,6.0,0.5984112255446005,4.599999904632568,11.799999952316284,True
2024_08_21,3,Day_2024_08_21_Wafer_03,101,649.0,6.0,0.5970728786815939,4.799999952316284,11.800000190734863,True
2024_08_21,4,Day_2024_08_21_Wafer_04,101,649.0,6.0,0.5964025391437004,4.6000001430511475,11.799999952316284,True
2024_08_21,5,Day_2024_08_21_Wafer_05,101,649.0,6.0,0.6017441263993855,4.6000001430511475,11.799999952316284,True
2024_08_21,6,Day_2024_08_21_Wafer_06,101,659.4000000953674,6.0,1.0626683365147822,5.799999952316284,15.0,True
2024_08_21,7,Day_2024_08_21_Wafer_07,101,649.0,6.0,0.5819793750149667,4.599999904632568,11.599999904632568,True
2024_08_21,8,Day_2024_08_21_Wafer_08,101,648.7999999523163,6.0,0.600828251743736,4.599999904632568,11.809999942779541,True
2024_08_21,9,Day_2024_08_21_Wafer_09,100,638.3999998569489,6.0,0.08489657449118024,5.799999952316284,6.3999998569488525,False
2024_08_21,10,Day_2024_08_21_Wafer_10,101,648.8000001907349,6.0,0.5994964493621731,4.610000133514404,11.799999952316284,True
2024_08_22,1,Day_2024_08_22_Wafer_01,100,638.5999999046326,6.0,0.07719181080624246,5.799999952316284,6.200000047683716,False
2024_08_22,2,Day_2024_08_22_Wafer_02,101,659.4099998474121,6.0,1.0623998236719423,5.789999961853027,15.0,True
2024_08_22,3,Day_2024_08_22_Wafer_03,101,648.7999999523163,6.0,0.5957314807416236,4.599999904632568,11.799999952316284,True
2024_08_22,4,Day_2024_08_22_Wafer_04,101,649.0,6.0,0.5970728810774667,4.599999904632568,11.800000190734863,True
2024_08_22,5,Day_2024_08_22_Wafer_05,101,659.2000000476837,6.0,1.0619152492984827,5.799999952316284,15.0,True
2024_08_22,6,Day_2024_08_22_Wafer_06,101,659.4000000953674,6.0,1.0518003566121883,5.799999952316284,15.0,True
2024_08_22,7,Day_2024_08_22_Wafer_07,101,659.6000001430511,6.0,1.0603933208798082,5.799999952316284,15.0,True
2024_08_22,8,Day_2024_08_22_Wafer_08,100,638.4000000953674,6.0,0.06304840758519814,5.799999952316284,6.200000047683716,False
2024_08_22,9,Day_2024_08_22_Wafer_09,101,649.0,6.0,0.6017441258129934,4.599999904632568,11.799999952316284,True
2024_08_22,10,Day_2024_08_22_Wafer_10,101,649.0,6.0,0.6010790241513089,4.6000001430511475,11.799999952316284,True
